,,Time,Density
847,0.724922,56.4,0.724922
850,0.724489,56.6,0.724489
853,0.72415,56.8,0.72415
856,0.723732,57,0.723732
859,0.723361,57.2,0.723361
862,0.722854,57.4,0.722854
865,0.722296,57.6,0.722296
868,0.721941,57.8,0.721941
871,0.721106,58,0.721106
874,0.721219,58.2,0.721219
877,0.720821,58.4,0.720821
880,0.723435,58.6,0.723435
883,0.724091,58.8,0.724091
886,0.724032,59,0.724032
889,0.724477,59.2,0.724477
892,0.724044,59.4,0.724044
895,0.724688,59.6,0.724688
898,0.725371,59.8,0.725371
901,0.72573,60,0.72573
904,0.726143,60.2,0.726143
907,0.726315,60.4,0.726315
910,0.725972,60.6,0.725972
913,0.725406,60.8,0.725406
916,0.725562,61,0.725562
919,0.724384,61.2,0.724384
922,0.724427,61.4,0.724427
925,0.724676,61.6,0.724676
928,0.724727,61.8,0.724727
931,0.722893,62,0.722893
934,0.723474,62.2,0.723474
937,0.723529,62.4,0.723529
940,0.723053,62.6,0.723053
943,0.72303,62.8,0.72303
946,0.722757,63,0.722757
949,0.722487,63.2,0.722487
952,0.722483,63.4,0.722483
955,0.724587,63.6,0.724587
958,0.724395,63.8,0.724395
961,0.723658,64,0.723658
964,0.72287,64.2,0.72287
967,0.722706,64.4,0.722706
970,0.722811,64.6,0.722811
973,0.722074,64.8,0.722074
976,0.722214,65,0.722214
979,0.722398,65.2,0.722398
982,0.718269,65.4,0.718269
985,0.71937,65.6,0.71937
988,0.719436,65.8,0.719436
991,0.71935,66,0.71935
994,0.719366,66.2,0.719366
997,0.718773,66.4,0.718773
1000,0.719233,66.6,0.719233
1003,0.719998,66.8,0.719998
1006,0.719085,67,0.719085
1009,0.719155,67.2,0.719155
1012,0.718312,67.4,0.718312
1015,0.718301,67.6,0.718301
1018,0.718254,67.8,0.718254
1021,0.718613,68,0.718613
1024,0.718176,68.2,0.718176
1027,0.718472,68.4,0.718472
1030,0.717766,68.6,0.717766
1033,0.717793,68.8,0.717793
1036,0.717692,69,0.717692
1039,0.718086,69.2,0.718086
1042,0.718422,69.4,0.718422
1045,0.718601,69.6,0.718601
1048,0.718363,69.8,0.718363
1051,0.718597,70,0.718597
1054,0.718504,70.2,0.718504
1057,0.718558,70.4,0.718558
1060,0.71905,70.6,0.71905
1063,0.717497,70.8,0.717497
1066,0.717684,71,0.717684
1069,0.717672,71.2,0.717672
1072,0.717996,71.4,0.717996
1075,0.717977,71.6,0.717977
1078,0.717914,71.8,0.717914
1081,0.718004,72,0.718004
1084,0.718468,72.2,0.718468
1087,0.715605,72.4,0.715605
1090,0.715156,72.6,0.715156
1093,0.715823,72.8,0.715823
1096,0.715889,73,0.715889
1099,0.716674,73.2,0.716674
1102,0.716342,73.4,0.716342
1105,0.716174,73.6,0.716174
1108,0.715921,73.8,0.715921
1111,0.718355,74,0.718355
1114,0.718332,74.2,0.718332
1117,0.71795,74.4,0.71795
1120,0.71809,74.6,0.71809
1123,0.718332,74.8,0.718332
1126,0.716759,75,0.716759
1129,0.714641,75.2,0.714641
1132,0.713416,75.4,0.713416
1135,0.713377,75.6,0.713377
1138,0.711898,75.8,0.711898
1141,0.711601,76,0.711601
1144,0.710864,76.2,0.710864
1147,0.710224,76.4,0.710224
1150,0.711769,76.6,0.711769
1153,0.713142,76.8,0.713142
1156,0.712214,77,0.712214
1159,0.709666,77.2,0.709666
1162,0.698682,77.4,0.698682
1165,0.701101,77.6,0.701101
