density,time
0.516202,35.309
0.516187,35.376
0.516421,35.443
0.516464,35.51
0.516038,35.577
0.51614,35.644
0.516608,35.711
0.517291,35.778
0.517287,35.845
0.518036,35.912
0.518223,35.979
0.51861,36.046
0.519452,36.113
0.519819,36.18
0.520678,36.247
0.523058,36.314
0.524579,36.381
0.525375,36.448
0.526714,36.515
0.530151,36.582
0.531474,36.649
0.542789,36.716
0.54714,36.783
0.550386,36.85
0.556196,36.917
0.55792,36.984
0.562287,37.051
0.564366,37.118
0.56551,37.185
0.567355,37.252
0.56865,37.319
0.569333,37.386
0.572927,37.453
0.580208,37.52
0.582104,37.587
0.584917,37.654
0.586731,37.721
0.588561,37.788
0.589529,37.855
0.589447,37.922
0.589884,37.989
0.590446,38.056
0.590586,38.123
0.590633,38.19
0.598546,38.257
0.598133,38.324
0.597692,38.391
0.59729,38.458
0.596736,38.525
0.596681,38.592
0.596537,38.659
0.59647,38.726
0.596662,38.793
0.596997,38.86
0.598394,38.927
0.598815,38.994
0.600782,39.061
0.601601,39.128
0.601812,39.195
0.602979,39.262
0.603423,39.329
0.606635,39.396
0.607368,39.463
0.60786,39.53
0.608355,39.597
0.607232,39.664
0.607996,39.731
0.617521,39.798
0.61795,39.865
0.61731,39.932
0.617872,39.999
0.617876,40.066
0.617447,40.133
0.616838,40.2
0.61612,40.267
0.616748,40.334
0.621106,40.401
0.621883,40.468
0.621543,40.535
0.621614,40.602
0.621266,40.669
0.620806,40.736
0.619979,40.803
0.618617,40.87
0.617341,40.937
0.615308,41.004
0.615375,41.071
0.614992,41.138
0.614427,41.205
0.613849,41.272
0.609846,41.339
0.608738,41.406
0.609335,41.473
0.608628,41.54
0.608492,41.607
0.607961,41.674
0.607462,41.741
0.608121,41.808
0.60992,41.875
0.610591,41.942
0.61086,42.009
0.610232,42.076
0.610189,42.143
0.609698,42.21
0.609526,42.277
0.607353,42.344
0.60633,42.411
0.606155,42.478
0.605593,42.545
0.603868,42.612
0.603494,42.679
0.603661,42.746
0.603416,42.813
0.607076,42.88
0.606436,42.947
0.606717,43.014
0.605168,43.081
0.604656,43.148
0.605203,43.215
0.606564,43.282
0.606104,43.349
0.6077,43.416
0.60784,43.483
0.60951,43.55
0.611048,43.617
0.611165,43.684
0.611691,43.751
0.617458,43.818
0.622851,43.885
0.624017,43.952
0.62612,44.019
0.626963,44.086
0.631263,44.153
0.632188,44.22
0.633666,44.287
0.635134,44.354
0.654888,44.421
0.654467,44.488
0.65467,44.555
0.654568,44.622
0.654955,44.689
0.656254,44.756
0.656133,44.823
0.65602,44.89
0.655669,44.957
0.656024,45.024
0.656379,45.091
0.656722,45.158
0.658915,45.225
0.660308,45.292
0.66112,45.359
0.662552,45.426
0.66334,45.493
0.664822,45.56
0.66764,45.627
0.668475,45.694
0.669095,45.761
0.670605,45.828
0.670285,45.895
0.681214,45.962
0.682779,46.029
0.684925,46.096
0.68686,46.163
0.68798,46.23
0.690145,46.297
0.691039,46.364
0.691222,46.431
0.691636,46.498
0.692182,46.565
0.692123,46.632
0.692638,46.699
0.693083,46.766
0.693048,46.833
0.693243,46.9
0.693649,46.967
0.694535,47.034
0.695046,47.101
0.694792,47.168
0.694816,47.235
0.694987,47.302
0.695335,47.369
0.69553,47.436
0.703037,47.503
0.703485,47.57
0.704043,47.637
0.703938,47.704
0.703681,47.771
0.703396,47.838
0.703368,47.905
0.703314,47.972
0.703684,48.039
0.70338,48.106
0.703017,48.173
0.702163,48.24
0.702506,48.307
0.704637,48.374
0.703501,48.441
0.702857,48.508
0.701886,48.575
0.70139,48.642
0.701269,48.709
0.701948,48.776
0.701125,48.843
0.700887,48.91
0.700376,48.977
0.696509,49.044
0.696708,49.111
0.697886,49.178
0.697055,49.245
0.696692,49.312
0.694781,49.379
0.693196,49.446
0.691597,49.513
0.689419,49.58
0.689205,49.647
0.689716,49.714
0.689513,49.781
0.689439,49.848
0.687835,49.915
0.687921,49.982
0.690469,50.049
0.693743,50.116
0.699275,50.183
0.701269,50.25
0.701589,50.317
0.702416,50.384
0.70228,50.451
0.702475,50.518
0.711828,50.585
0.711305,50.652
0.711578,50.719
0.714184,50.786
0.714621,50.853
0.715616,50.92
0.717103,50.987
0.717665,51.054
0.717836,51.121
0.718433,51.188
0.718878,51.255
0.718882,51.322
0.719502,51.389
0.720096,51.456
0.720119,51.523
0.720322,51.59
0.720131,51.657
0.719951,51.724
0.719932,51.791
0.719729,51.858
0.719791,51.925
0.719737,51.992
0.719651,52.059
0.720369,52.126
0.720283,52.193
0.720599,52.26
0.720755,52.327
0.720349,52.394
0.720517,52.461
0.720334,52.528
0.720248,52.595
0.72008,52.662
0.720271,52.729
0.719975,52.796
0.719893,52.863
0.719936,52.93
0.719764,52.997
0.719698,53.064
0.719413,53.131
0.719151,53.198
0.719038,53.265
0.71855,53.332
0.718543,53.399
0.718578,53.466
0.718348,53.533
0.718269,53.6
0.717992,53.667
0.718016,53.734
0.718141,53.801
