frame,Time,Density
1249,83,0.0466667
1252,83.2,0.048
1255,83.4,0.04
1258,83.6,0.044
1261,83.8,0.048
1264,84,0.0466667
1267,84.2,0.0413333
1270,84.4,0.0386667
1273,84.6,0.0386667
1276,84.8,0.04
1279,85,0.0386667
1282,85.2,0.0413333
1285,85.4,0.0413333
1288,85.6,0.0426667
1291,85.8,0.0493333
1294,86,0.056
1297,86.2,0.056
1300,86.4,0.0493333
1303,86.6,0.0426667
1306,86.8,0.0333333
1309,87,0.028
1312,87.2,0.0213333
1315,87.4,0.0226667
1318,87.6,0.0226667
1321,87.8,0.0266667
1324,88,0.0306667
1327,88.2,0.032
1330,88.4,0.0266667
1333,88.6,0.02
1336,88.8,0.0133333
1339,89,0.016
1342,89.2,0.0226667
1345,89.4,0.0293333
1348,89.6,0.0306667
1351,89.8,0.0293333
1354,90,0.0253333
1357,90.2,0.0253333
1360,90.4,0.0226667
1363,90.6,0.0293333
1366,90.8,0.0333333
1369,91,0.0413333
1372,91.2,0.0386667
1375,91.4,0.0346667
1378,91.6,0.0306667
1381,91.8,0.0373333
1384,92,0.044
1387,92.2,0.0466667
1390,92.4,0.0386667
1393,92.6,0.032
1396,92.8,0.0266667
1399,93,0.028
1402,93.2,0.0253333
1405,93.4,0.0226667
1408,93.6,0.0173333
1411,93.8,0.0173333
1414,94,0.0226667
1417,94.2,0.0346667
1420,94.4,0.0426667
1423,94.6,0.0413333
1426,94.8,0.0346667
1429,95,0.0413333
1432,95.2,0.0746667
1435,95.4,0.113333
1438,95.6,0.153333
1441,95.8,0.18
1444,96,0.229333
1447,96.2,0.277333
1450,96.4,0.313333
1453,96.6,0.32
1456,96.8,0.3
1459,97,0.304
1462,97.2,0.305333
1465,97.4,0.334667
1468,97.6,0.38
1471,97.8,0.422667
1474,98,0.465333
1477,98.2,0.478667
1480,98.4,0.48
1483,98.6,0.474667
1486,98.8,0.462667
1489,99,0.485333
1492,99.2,0.513333
1495,99.4,0.533333
1498,99.6,0.548
1501,99.8,0.561333
1504,100,0.592
1507,100.2,0.624
1510,100.4,0.642667
1513,100.6,0.625333
1516,100.8,0.590667
1519,101,0.481333
1522,101.2,0.476
1525,101.4,0.469333
1528,101.6,0.536
1531,101.8,0.508
1534,102,0.481333
1537,102.2,0.48
1540,102.4,0.488
1543,102.6,0.470667
1546,102.8,0.441333
1549,103,0.433333
1552,103.2,0.46
1555,103.4,0.458667
1558,103.6,0.444
1561,103.8,0.410667
1564,104,0.409333
1567,104.2,0.413333
1570,104.4,0.410667
1573,104.6,0.385333
1576,104.8,0.368
1579,105,0.386667
1582,105.2,0.401333
1585,105.4,0.442667
1588,105.6,0.478667
1591,105.8,0.554667
1594,106,0.576
1597,106.2,0.637333
1600,106.4,0.693333
1603,106.6,0.777333
1606,106.8,0.830667
1609,107,0.837333
1612,107.2,0.833333
1615,107.4,0.810667
1618,107.6,0.788
1621,107.8,0.785333
1624,108,0.784
1627,108.2,0.805333
1630,108.4,0.761333
1633,108.6,0.737333
1636,108.8,0.722667
1639,109,0.704
1642,109.2,0.674667
1645,109.4,0.650667
1648,109.6,0.637333
1651,109.8,0.650667
1654,110,0.625333
1657,110.2,0.602667
1660,110.4,0.561333
1663,110.6,0.534667
1666,110.8,0.549333
1669,111,0.522667
1672,111.2,0.512
1675,111.4,0.465333
1678,111.6,0.445333
1681,111.8,0.413333
1684,112,0.412
1687,112.2,0.4
1690,112.4,0.386667
1693,112.6,0.374667
1696,112.8,0.352
1699,113,0.344
1702,113.2,0.302667
1705,113.4,0.293333
1708,113.6,0.3
1711,113.8,0.324
1714,114,0.362667
1717,114.2,0.385333
1720,114.4,0.397333
1723,114.6,0.378667
1726,114.8,0.348
1729,115,0.353333
1732,115.2,0.317333
1735,115.4,0.272
1738,115.6,0.202667
1741,115.8,0.210667
1744,116,0.224
1747,116.2,0.253333
1750,116.4,0.252
1753,116.6,0.302667
1756,116.8,0.332
1759,117,0.361333
1762,117.2,0.345333
1765,117.4,0.344
1768,117.6,0.341333
1771,117.8,0.350667
1774,118,0.354667
1777,118.2,0.366667
1780,118.4,0.356
1783,118.6,0.341333
1786,118.8,0.309333
1789,119,0.292
1792,119.2,0.286667
1795,119.4,0.292
1798,119.6,0.298667
1801,119.8,0.313333
1804,120,0.316
1807,120.2,0.341333
1810,120.4,0.366667
1813,120.6,0.405333
1816,120.8,0.405333
1819,121,0.4
1822,121.2,0.377333
1825,121.4,0.352
1828,121.6,0.349333
1831,121.8,0.346667
1834,122,0.356
1837,122.2,0.313333
1840,122.4,0.292
1843,122.6,0.265333
1846,122.8,0.266667
1849,123,0.250667
1852,123.2,0.248
1855,123.4,0.217333
1858,123.6,0.202667
1861,123.8,0.185333
1864,124,0.18
1867,124.2,0.18
1870,124.4,0.178667
1873,124.6,0.182667
1876,124.8,0.192
1879,125,0.201333
1882,125.2,0.233333
1885,125.4,0.257333
1888,125.6,0.253333
1891,125.8,0.246667
1894,126,0.229333
1897,126.2,0.245333
1900,126.4,0.246667
1903,126.6,0.261333
1906,126.8,0.261333
1909,127,0.266667
1912,127.2,0.253333
1915,127.4,0.277333
1918,127.6,0.282667
1921,127.8,0.288
1924,128,0.273333
1927,128.2,0.293333
1930,128.4,0.281333
1933,128.6,0.281333
1936,128.8,0.250667
1939,129,0.264
1942,129.2,0.237333
1945,129.4,0.244
1948,129.6,0.242667
1951,129.8,0.262667
1954,130,0.246667
1957,130.2,0.226667
1960,130.4,0.185333
1963,130.6,0.164
1966,130.8,0.138667
1969,131,0.129333
1972,131.2,0.092
1975,131.4,0.06
1978,131.6,0.0373333
1981,131.8,0.0373333
1984,132,0.0426667
1987,132.2,0.0426667
1990,132.4,0.0386667
1993,132.6,0.0306667
1996,132.8,0.028
1999,133,0.0293333
2002,133.2,0.0373333
2005,133.4,0.04
2008,133.6,0.048
2011,133.8,0.0706667
2014,134,0.0893333
2017,134.2,0.105333
2020,134.4,0.108
2023,134.6,0.117333
2026,134.8,0.117333
2029,135,0.109333
2032,135.2,0.109333
2035,135.4,0.134667
2038,135.6,0.192
2041,135.8,0.249333
2044,136,0.282667
2047,136.2,0.289333
2050,136.4,0.294667
2053,136.6,0.318667
2056,136.8,0.304
2059,137,0.289333
2062,137.2,0.24
2065,137.4,0.217333
2068,137.6,0.18
2071,137.8,0.156
2074,138,0.128
2077,138.2,0.108
2080,138.4,0.0906667
2083,138.6,0.0946667
2086,138.8,0.092
2089,139,0.1
2092,139.2,0.092
2095,139.4,0.1
2098,139.6,0.0893333
2101,139.8,0.088
2104,140,0.0786667
2107,140.2,0.0946667
2110,140.4,0.109333
2113,140.6,0.129333
2116,140.8,0.122667
2119,141,0.114667
2122,141.2,0.0933333
2125,141.4,0.104
2128,141.6,0.132
2131,141.8,0.145333
2134,142,0.146667
2137,142.2,0.152
2140,142.4,0.165333
2143,142.6,0.170667
2146,142.8,0.164
2149,143,0.173333
2152,143.2,0.192
2155,143.4,0.189333
2158,143.6,0.189333
2161,143.8,0.177333
2164,144,0.153333
2167,144.2,0.117333
2170,144.4,0.0906667
2173,144.6,0.0986667
2176,144.8,0.104
2179,145,0.106667
2182,145.2,0.105333
2185,145.4,0.106667
2188,145.6,0.110667
2191,145.8,0.102667
2194,146,0.0986667
2197,146.2,0.0933333
2200,146.4,0.0933333
2203,146.6,0.0933333
2206,146.8,0.0826667
2209,147,0.072
2212,147.2,0.0573333
2215,147.4,0.0466667
2218,147.6,0.0373333
2221,147.8,0.0333333
2224,148,0.0306667
2227,148.2,0.0333333
2230,148.4,0.036
2233,148.6,0.04
2236,148.8,0.036
2239,149,0.0333333
2242,149.2,0.0346667
2245,149.4,0.0373333
2248,149.6,0.0413333
2251,149.8,0.0373333
2254,150,0.036
2257,150.2,0.032
2260,150.4,0.0386667
2263,150.6,0.0413333
2266,150.8,0.0426667
2269,151,0.0493333
2272,151.2,0.0786667
2275,151.4,0.134667
2278,151.6,0.174667
2281,151.8,0.198667
2284,152,0.196
2287,152.2,0.189333
2290,152.4,0.186667
2293,152.6,0.197333
2296,152.8,0.210667
2299,153,0.237333
2302,153.2,0.256
2305,153.4,0.273333
2308,153.6,0.253333
2311,153.8,0.226667
2314,154,0.209333
2317,154.2,0.208
2320,154.4,0.190667
2323,154.6,0.172
2326,154.8,0.144
2329,155,0.149333
2332,155.2,0.148
2335,155.4,0.150667
2338,155.6,0.134667
2341,155.8,0.118667
2344,156,0.1
2347,156.2,0.0786667
2350,156.4,0.0706667
2353,156.6,0.0653333
2356,156.8,0.06
2359,157,0.048
2362,157.2,0.0466667
2365,157.4,0.048
2368,157.6,0.056
2371,157.8,0.06
2374,158,0.0733333
2377,158.2,0.0653333
2380,158.4,0.056
2383,158.6,0.04
2386,158.8,0.032
2389,159,0.0373333
2392,159.2,0.048
2395,159.4,0.056
2398,159.6,0.052
2401,159.8,0.06
2404,160,0.0786667
2407,160.2,0.096
2410,160.4,0.0946667
2413,160.6,0.084
2416,160.8,0.0666667
2419,161,0.0506667
2422,161.2,0.0426667
2425,161.4,0.04
2428,161.6,0.0346667
2431,161.8,0.0293333
2434,162,0.0266667
2437,162.2,0.0293333
2440,162.4,0.032
2443,162.6,0.0373333
2446,162.8,0.0466667
2449,163,0.0586667
2452,163.2,0.064
2455,163.4,0.0733333
2458,163.6,0.076
2461,163.8,0.0893333
2464,164,0.0893333
2467,164.2,0.1
2470,164.4,0.0933333
2473,164.6,0.0946667
2476,164.8,0.072
2479,165,0.0586667
2482,165.2,0.04
2485,165.4,0.0466667
2488,165.6,0.0493333
2491,165.8,0.0546667
2494,166,0.0546667
2497,166.2,0.0546667
2500,166.4,0.0573333
2503,166.6,0.052
2506,166.8,0.052
2509,167,0.0413333
2512,167.2,0.044
2515,167.4,0.0546667
2518,167.6,0.0826667
2521,167.8,0.0986667
2524,168,0.117333
2527,168.2,0.117333
2530,168.4,0.125333
2533,168.6,0.124
2536,168.8,0.138667
2539,169,0.136
2542,169.2,0.137333
2545,169.4,0.130667
2548,169.6,0.125333
2551,169.8,0.114667
2554,170,0.104
2557,170.2,0.0973333
2560,170.4,0.088
2563,170.6,0.0706667
2566,170.8,0.0613333
2569,171,0.0453333
2572,171.2,0.0306667
2575,171.4,0.012
2578,171.6,0.00266667
2581,171.8,0
2584,172,0
2587,172.2,0
2590,172.4,0
2593,172.6,0
2596,172.8,0
2599,173,0
2602,173.2,0
2605,173.4,0
2608,173.6,0
2611,173.8,0
2614,174,0
2617,174.2,0
2620,174.4,0
2623,174.6,0
2626,174.8,0
2629,175,0.0146667
2632,175.2,0.036
2635,175.4,0.0573333
2638,175.6,0.0573333
2641,175.8,0.0626667
2644,176,0.0826667
2647,176.2,0.118667
2650,176.4,0.144
2653,176.6,0.165333
2656,176.8,0.170667
2659,177,0.177333
2662,177.2,0.174667
2665,177.4,0.174667
2668,177.6,0.176
2671,177.8,0.176
2674,178,0.185333
2677,178.2,0.173333
2680,178.4,0.149333
2683,178.6,0.109333
2686,178.8,0.0893333
2689,179,0.0813333
2692,179.2,0.076
2695,179.4,0.0733333
2698,179.6,0.064
2701,179.8,0.068
2704,180,0.0626667
2707,180.2,0.0693333
2710,180.4,0.0666667
2713,180.6,0.064
2716,180.8,0.0626667
2719,181,0.0626667
2722,181.2,0.0653333
2725,181.4,0.0653333
2728,181.6,0.072
2731,181.8,0.0773333
2734,182,0.088
2737,182.2,0.1
2740,182.4,0.122667
2743,182.6,0.141333
2746,182.8,0.141333
2749,183,0.148
2752,183.2,0.157333
2755,183.4,0.178667
2758,183.6,0.184
2761,183.8,0.174667
2764,184,0.169333
2767,184.2,0.166667
2770,184.4,0.165333
2773,184.6,0.162667
2776,184.8,0.152
2779,185,0.141333
2782,185.2,0.132
2785,185.4,0.129333
2788,185.6,0.136
2791,185.8,0.137333
2794,186,0.132
2797,186.2,0.125333
2800,186.4,0.122667
2803,186.6,0.126667
2806,186.8,0.129333
2809,187,0.129333
2812,187.2,0.114667
2815,187.4,0.0906667
2818,187.6,0.0586667
2821,187.8,0.0333333
2824,188,0.0173333
2827,188.2,0.00933333
2830,188.4,0.00933333
2833,188.6,0.008
2836,188.8,0.00933333
2839,189,0.00933333
2842,189.2,0.00933333
2845,189.4,0.00666667
2848,189.6,0.00666667
2851,189.8,0.00666667
2854,190,0.0173333
2857,190.2,0.02
2860,190.4,0.0213333
2863,190.6,0.012
2866,190.8,0.00933333
2869,191,0.008
2872,191.2,0.008
2875,191.4,0.008
2878,191.6,0.0173333
2881,191.8,0.0266667
2884,192,0.04
2887,192.2,0.0493333
2890,192.4,0.052
2893,192.6,0.0533333
2896,192.8,0.052
2899,193,0.056
2902,193.2,0.056
2905,193.4,0.0573333
2908,193.6,0.056
2911,193.8,0.0573333
2914,194,0.0586667
2917,194.2,0.0666667
2920,194.4,0.0706667
2923,194.6,0.0706667
2926,194.8,0.068
2929,195,0.068
2932,195.2,0.0613333
2935,195.4,0.0613333
2938,195.6,0.0586667
2941,195.8,0.0653333
2944,196,0.064
2947,196.2,0.064
2950,196.4,0.0626667
2953,196.6,0.064
2956,196.8,0.0666667
2959,197,0.068
2962,197.2,0.0613333
2965,197.4,0.0573333
2968,197.6,0.0533333
2971,197.8,0.0573333
2974,198,0.06
2977,198.2,0.06
2980,198.4,0.0586667
2983,198.6,0.0533333
2986,198.8,0.056
2989,199,0.0573333
2992,199.2,0.0653333
2995,199.4,0.0693333
2998,199.6,0.08
3001,199.8,0.0853333
3004,200,0.092
3007,200.2,0.092
3010,200.4,0.092
3013,200.6,0.109333
3016,200.8,0.129333
3019,201,0.150667
3022,201.2,0.161333
3025,201.4,0.173333
3028,201.6,0.186667
3031,201.8,0.182667
3034,202,0.177333
3037,202.2,0.168
3040,202.4,0.174667
3043,202.6,0.172
3046,202.8,0.172
3049,203,0.156
3052,203.2,0.146667
3055,203.4,0.14
3058,203.6,0.138667
3061,203.8,0.149333
3064,204,0.161333
3067,204.2,0.174667
3070,204.4,0.172
3073,204.6,0.165333
3076,204.8,0.165333
3079,205,0.173333
3082,205.2,0.169333
3085,205.4,0.16
3088,205.6,0.142667
3091,205.8,0.137333
3094,206,0.122667
3097,206.2,0.110667
3100,206.4,0.0986667
3103,206.6,0.101333
3106,206.8,0.105333
3109,207,0.113333
3112,207.2,0.118667
3115,207.4,0.130667
3118,207.6,0.128
3121,207.8,0.117333
3124,208,0.101333
3127,208.2,0.0973333
3130,208.4,0.0986667
3133,208.6,0.1
3136,208.8,0.0786667
3139,209,0.052
3142,209.2,0.0253333
3145,209.4,0.0186667
3148,209.6,0.0213333
3151,209.8,0.0213333
3154,210,0.0266667
3157,210.2,0.0266667
3160,210.4,0.032
3163,210.6,0.028
3166,210.8,0.028
3169,211,0.0226667
3172,211.2,0.02
3175,211.4,0.02
3178,211.6,0.0253333
3181,211.8,0.0306667
3184,212,0.032
3187,212.2,0.0306667
3190,212.4,0.032
3193,212.6,0.0333333
3196,212.8,0.0306667
3199,213,0.0306667
3202,213.2,0.0346667
3205,213.4,0.0373333
3208,213.6,0.0306667
3211,213.8,0.0186667
3214,214,0.00933333
3217,214.2,0.00533333
3220,214.4,0.00266667
3223,214.6,0.004
3226,214.8,0.00933333
3229,215,0.016
3232,215.2,0.0253333
3235,215.4,0.0333333
3238,215.6,0.032
3241,215.8,0.0266667
3244,216,0.0186667
3247,216.2,0.016
3250,216.4,0.016
3253,216.6,0.016
3256,216.8,0.016
3259,217,0.0146667
3262,217.2,0.00933333
3265,217.4,0.00533333
3268,217.6,0.004
3271,217.8,0.00533333
3274,218,0.00933333
3277,218.2,0.0106667
3280,218.4,0.00933333
3283,218.6,0.00666667
3286,218.8,0.00266667
3289,219,0.008
3292,219.2,0.00933333
3295,219.4,0.0106667
3298,219.6,0.00533333
3301,219.8,0.00266667
3304,220,0
3307,220.2,0
3310,220.4,0
3313,220.6,0.00133333
3316,220.8,0.00266667
3319,221,0.00666667
3322,221.2,0.00533333
3325,221.4,0.0106667
3328,221.6,0.008
3331,221.8,0.0106667
3334,222,0.0106667
3337,222.2,0.0186667
3340,222.4,0.0226667
3343,222.6,0.0213333
3346,222.8,0.0173333
3349,223,0.016
3352,223.2,0.016
3355,223.4,0.0173333
3358,223.6,0.0173333
3361,223.8,0.0146667
3364,224,0.016
3367,224.2,0.016
3370,224.4,0.0213333
3373,224.6,0.0146667
3376,224.8,0.0133333
3379,225,0.008
3382,225.2,0.0106667
3385,225.4,0.0106667
3388,225.6,0.0106667
3391,225.8,0.00933333
3394,226,0.00666667
3397,226.2,0.004
3400,226.4,0.00133333
3403,226.6,0.00133333
3406,226.8,0.004
3409,227,0.008
3412,227.2,0.00933333
3415,227.4,0.0106667
3418,227.6,0.008
3421,227.8,0.00533333
3424,228,0.00133333
3427,228.2,0
3430,228.4,0
3433,228.6,0
3436,228.8,0
3439,229,0
3442,229.2,0
3445,229.4,0.00133333
3448,229.6,0.00266667
3451,229.8,0.00266667
3454,230,0.00133333
3457,230.2,0
3460,230.4,0
3463,230.6,0
3466,230.8,0
3469,231,0
3472,231.2,0
3475,231.4,0
3478,231.6,0
3481,231.8,0
3484,232,0
3487,232.2,0
3490,232.4,0
3493,232.6,0
3496,232.8,0.00133333
3499,233,0.00133333
3502,233.2,0.00133333
3505,233.4,0
3508,233.6,0
3511,233.8,0
3514,234,0
3517,234.2,0
3520,234.4,0
3523,234.6,0
3526,234.8,0
3529,235,0
3532,235.2,0
3535,235.4,0
3538,235.6,0
3541,235.8,0
3544,236,0
3547,236.2,0.00133333
3550,236.4,0.004
3553,236.6,0.00666667
3556,236.8,0.00666667
3559,237,0.00533333
3562,237.2,0.00533333
3565,237.4,0.00533333
3568,237.6,0.00533333
3571,237.8,0.00266667
3574,238,0.00133333
3577,238.2,0
3580,238.4,0
3583,238.6,0
3586,238.8,0
3589,239,0.00266667
3592,239.2,0.00666667
3595,239.4,0.00666667
3598,239.6,0.004
3601,239.8,0
3604,240,0
3607,240.2,0
3610,240.4,0
3613,240.6,0
3616,240.8,0
3619,241,0
3622,241.2,0.00133333
3625,241.4,0.004
3628,241.6,0.00666667
3631,241.8,0.008
3634,242,0.008
3637,242.2,0.008
3640,242.4,0.00933333
3643,242.6,0.00933333
3646,242.8,0.008
3649,243,0.00666667
3652,243.2,0.00666667
3655,243.4,0.008
3658,243.6,0.008
3661,243.8,0.00666667
3664,244,0.00666667
3667,244.2,0.00666667
3670,244.4,0.008
3673,244.6,0.0106667
3676,244.8,0.012
3679,245,0.0133333
3682,245.2,0.0146667
3685,245.4,0.0146667
3688,245.6,0.016
3691,245.8,0.012
3694,246,0.0106667
3697,246.2,0.00533333
3700,246.4,0.004
3703,246.6,0.0146667
3706,246.8,0.0293333
3709,247,0.0426667
3712,247.2,0.0426667
3715,247.4,0.04
3718,247.6,0.04
3721,247.8,0.0413333
3724,248,0.04
