time,density
118.6,0.391352
118.8,0.369564
119,0.348631
119.2,0.337304
119.4,0.329984
119.6,0.319941
119.8,0.293288
120,0.278344
120.2,0.271188
120.4,0.255881
120.6,0.241003
120.8,0.23464
121,0.219177
121.2,0.197619
121.4,0.170381
121.6,0.155671
121.8,0.150056
122,0.144515
122.2,0.143544
122.4,0.142342
122.6,0.141242
122.8,0.159385
123,0.192235
123.2,0.225494
123.4,0.260384
123.6,0.323008
123.8,0.38811
124,0.411716
124.2,0.422153
124.4,0.491839
124.6,0.54767
124.8,0.545899
125,0.49715
125.2,0.485429
125.4,0.408969
125.6,0.372748
125.8,0.343188
126,0.325127
126.2,0.305828
126.4,0.28312
126.6,0.250383
126.8,0.230266
127,0.219321
127.2,0.216843
127.4,0.202438
127.6,0.189858
127.8,0.167805
128,0.149841
128.2,0.144164
128.4,0.143407
128.6,0.143993
128.8,0.150267
129,0.171625
129.2,0.190963
129.4,0.217401
129.6,0.267696
129.8,0.321139
130,0.397127
130.2,0.442513
130.4,0.524377
130.6,0.627459
130.8,0.670137
131,0.690684
131.2,0.731641
131.4,0.738344
131.6,0.725273
131.8,0.72047
132,0.663422
132.2,0.5762
132.4,0.468959
132.6,0.426265
132.8,0.445966
133,0.435989
133.2,0.427413
133.4,0.415918
133.6,0.347328
133.8,0.278274
134,0.260817
134.2,0.231951
134.4,0.220281
134.6,0.200729
134.8,0.18161
135,0.172421
135.2,0.15919
135.4,0.151788
135.6,0.150653
135.8,0.146981
136,0.142131
136.2,0.136977
136.4,0.137071
136.6,0.137839
136.8,0.13867
137,0.139174
137.2,0.138772
137.4,0.141066
137.6,0.14185
137.8,0.143052
138,0.140134
138.2,0.141827
138.4,0.14297
138.6,0.14395
138.8,0.1445
139,0.14418
139.2,0.161321
139.4,0.178816
139.6,0.201178
139.8,0.212544
140,0.219758
140.2,0.217557
140.4,0.213726
140.6,0.217971
140.8,0.21055
141,0.200862
141.2,0.212181
141.4,0.218669
141.6,0.220749
141.8,0.225486
142,0.227722
142.2,0.211256
142.4,0.203429
142.6,0.200947
142.8,0.18838
143,0.181087
143.2,0.173486
143.4,0.160946
143.6,0.154672
143.8,0.14974
144,0.147469
144.2,0.154836
144.4,0.161816
144.6,0.156876
144.8,0.151866
145,0.145791
145.2,0.146322
145.4,0.143786
145.6,0.142081
145.8,0.137184
146,0.136056
146.2,0.13645
146.4,0.158078
146.6,0.191056
146.8,0.225486
147,0.264083
147.2,0.274735
147.4,0.243567
147.6,0.223098
147.8,0.23089
148,0.206761
148.2,0.191322
148.4,0.188817
148.6,0.18623
148.8,0.16374
149,0.150793
149.2,0.142291
149.4,0.149599
149.6,0.163907
149.8,0.165312
150,0.163825
150.2,0.163334
150.4,0.159787
150.6,0.143091
150.8,0.148761
151,0.160205
151.2,0.167571
151.4,0.158371
151.6,0.155682
151.8,0.147883
152,0.151055
152.2,0.155199
152.4,0.145015
152.6,0.137898
152.8,0.139962
153,0.142849
153.2,0.142135
153.4,0.139825
153.6,0.141253
153.8,0.141312
154,0.152249
154.2,0.180966
154.4,0.192886
154.6,0.190982
154.8,0.20577
155,0.204935
155.2,0.199632
155.4,0.200339
155.6,0.199668
155.8,0.188087
156,0.174087
156.2,0.16557
156.4,0.173459
156.6,0.184946
156.8,0.188703
157,0.187205
157.2,0.164567
157.4,0.15015
157.6,0.1399
157.8,0.130395
158,0.126251
158.2,0.125303
158.4,0.12526
158.6,0.125486
158.8,0.124889
159,0.125123
159.2,0.125049
159.4,0.124585
159.6,0.124647
159.8,0.124839
160,0.124495
160.2,0.123364
160.4,0.123477
160.6,0.123777
160.8,0.123391
161,0.124082
161.2,0.142557
161.4,0.156884
161.6,0.162323
161.8,0.164953
162,0.180264
162.2,0.204198
162.4,0.234842
162.6,0.261507
162.8,0.287907
163,0.301805
163.2,0.312863
163.4,0.311033
163.6,0.301809
163.8,0.285449
164,0.291192
164.2,0.287216
164.4,0.277442
164.6,0.265468
164.8,0.234206
165,0.240738
165.2,0.248745
165.4,0.246599
165.6,0.241979
165.8,0.220402
166,0.208216
166.2,0.19646
166.4,0.180744
166.6,0.179288
166.8,0.179398
167,0.174864
167.2,0.173873
167.4,0.178153
167.6,0.188848
167.8,0.193846
168,0.199952
168.2,0.202208
168.4,0.198052
168.6,0.196722
168.8,0.19248
169,0.19234
169.2,0.194435
169.4,0.19442
169.6,0.197822
169.8,0.202173
170,0.203113
170.2,0.203312
170.4,0.202149
170.6,0.201814
170.8,0.200807
171,0.198392
171.2,0.199145
171.4,0.197717
171.6,0.196573
171.8,0.191599
172,0.187724
172.2,0.186288
172.4,0.185492
172.6,0.18614
172.8,0.186522
173,0.186811
173.2,0.185925
173.4,0.185641
173.6,0.184649
173.8,0.185168
174,0.184934
174.2,0.183167
174.4,0.181235
174.6,0.182531
174.8,0.1863
175,0.193378
175.2,0.195403
175.4,0.190237
175.6,0.184275
